type,category,meal,source,section,ingredient,amount,units,notes
recipe,side dish,Creamy au Gratin Potatoes/Scalloped Potatoes,https://www.allrecipes.com/recipe/15925/creamy-au-gratin-potatoes/,ingredients,"potatoes (medium,russet)",4,potatoes,thinly sliced
recipe,side dish,Creamy au Gratin Potatoes/Scalloped Potatoes,https://www.allrecipes.com/recipe/15925/creamy-au-gratin-potatoes/,ingredients,onion,1,medium,sliced into rings
recipe,side dish,Creamy au Gratin Potatoes/Scalloped Potatoes,https://www.allrecipes.com/recipe/15925/creamy-au-gratin-potatoes/,ingredients,salt,1,teaspoon,to taste
recipe,side dish,Creamy au Gratin Potatoes/Scalloped Potatoes,https://www.allrecipes.com/recipe/15925/creamy-au-gratin-potatoes/,ingredients,black pepper,1,teaspoon,to taste
recipe,side dish,Creamy au Gratin Potatoes/Scalloped Potatoes,https://www.allrecipes.com/recipe/15925/creamy-au-gratin-potatoes/,ingredients,butter,3,tablespoons,
recipe,side dish,Creamy au Gratin Potatoes/Scalloped Potatoes,https://www.allrecipes.com/recipe/15925/creamy-au-gratin-potatoes/,ingredients,flour,3,tablespoons,all-purpose
recipe,side dish,Creamy au Gratin Potatoes/Scalloped Potatoes,https://www.allrecipes.com/recipe/15925/creamy-au-gratin-potatoes/,ingredients,milk,2,cups,
recipe,side dish,Creamy au Gratin Potatoes/Scalloped Potatoes,https://www.allrecipes.com/recipe/15925/creamy-au-gratin-potatoes/,ingredients,Cheddar cheese,1.5,cups,shredded
