type,category,meal,source,section,ingredient,amount,units,notes
pasta,dinner,Butternut Squash gnocchi,https://www.instagram.com/p/DPPxnEHj0PD/,gnocchi,butternut squash purée,1,cup,"Roast cubed butternut squash at 350°F (175°C) until very soft, then blend until smooth. If watery, strain through cheesecloth before using"
pasta,dinner,Butternut Squash gnocchi,https://www.instagram.com/p/DPPxnEHj0PD/,gnocchi,all-purpose flour,1,cup,"may need more or less"
pasta,dinner,Butternut Squash gnocchi,https://www.instagram.com/p/DPPxnEHj0PD/,gnocchi,pumpkin pie spice,0.25,teaspoon,"or nutmeg"
pasta,dinner,Butternut Squash gnocchi,https://www.instagram.com/p/DPPxnEHj0PD/,gnocchi,semolina flour,1,handful,for dusting
pasta,dinner,Butternut Squash gnocchi,https://www.instagram.com/p/DPPxnEHj0PD/,sauce,unsalted butter,2.5,tablespoons,
pasta,dinner,Butternut Squash gnocchi,https://www.instagram.com/p/DPPxnEHj0PD/,sauce,sage leaves,4.5,leaves,
pasta,dinner,Butternut Squash gnocchi,https://www.instagram.com/p/DPPxnEHj0PD/,sauce,prosciutto,1,slice,thinly sliced
pasta,dinner,Butternut Squash gnocchi,https://www.instagram.com/p/DPPxnEHj0PD/,garnish,Parmesan cheese,1,handful,to finish
