type,category,meal,source,section,ingredient,amount,units,notes,
dinner,pasta,Summertime Pasta with Cherry Tomatoes,Cookbook Page 122,Ingredients,olive oil,0.5,cup,,
dinner,pasta,Summertime Pasta with Cherry Tomatoes,Cookbook Page 122,Ingredients,garlic,6,cloves,crushed,
dinner,pasta,Summertime Pasta with Cherry Tomatoes,Cookbook Page 122,Ingredients,cherry tomatoes,1,basket,cut in half or 2 cups,
dinner,pasta,Summertime Pasta with Cherry Tomatoes,Cookbook Page 122,Ingredients,sea salt,2,tsp,,
dinner,pasta,Summertime Pasta with Cherry Tomatoes,Cookbook Page 122,Ingredients,black pepper,1,tsp,,
dinner,pasta,Summertime Pasta with Cherry Tomatoes,Cookbook Page 122,Ingredients,fresh basil,2,cup,chopped,
dinner,pasta,Summertime Pasta with Cherry Tomatoes,Cookbook Page 122,Ingredients,parmesan cheese,1,cup,freshly grated,
dinner,pasta,Summertime Pasta with Cherry Tomatoes,Cookbook Page 122,Ingredients,spaghetti,1,package,500g or angel hair pasta,
