type,category,meal,source,section,ingredient,amount,units,notes
side dish,dinner,Chili Crisp Cucumber Soba Noodle Salad,https://munchingwithmariyah.com/chili-crisp-cucumber-soba-noodle-salad/,noodles,soba noodles,1,package,
side dish,dinner,Chili Crisp Cucumber Soba Noodle Salad,https://munchingwithmariyah.com/chili-crisp-cucumber-soba-noodle-salad/,vegetables,cucumber,1,enough,
side dish,dinner,Chili Crisp Cucumber Soba Noodle Salad,https://munchingwithmariyah.com/chili-crisp-cucumber-soba-noodle-salad/,seasoning,chili crisp,1,tablespoon,
side dish,dinner,Chili Crisp Cucumber Soba Noodle Salad,https://munchingwithmariyah.com/chili-crisp-cucumber-soba-noodle-salad/,seasoning,sesame oil,1,tablespoon,
side dish,dinner,Chili Crisp Cucumber Soba Noodle Salad,https://munchingwithmariyah.com/chili-crisp-cucumber-soba-noodle-salad/,seasoning,soy sauce,1,tablespoon,
side dish,dinner,Chili Crisp Cucumber Soba Noodle Salad,https://munchingwithmariyah.com/chili-crisp-cucumber-soba-noodle-salad/,garnish,scallions,1,whole,thinly sliced
side dish,dinner,Chili Crisp Cucumber Soba Noodle Salad,https://munchingwithmariyah.com/chili-crisp-cucumber-soba-noodle-salad/,garnish,cilantro,0.25,cup,finely minced
