type,category,meal,source,section,ingredient,amount,units,notes
dessert,dessert,tahini fudge,Obsidian Recipe Database Noah,pantry,tahini,1,c,
dessert,dessert,tahini fudge,Obsidian Recipe Database Noah,pantry,dates,5,items,Pitted
dessert,dessert,tahini fudge,Obsidian Recipe Database Noah,pantry,icing sugar,0.25,c,
dessert,dessert,tahini fudge,Obsidian Recipe Database Noah,pantry,coconut milk,1,can,Chilled preferred
dessert,dessert,tahini fudge,Obsidian Recipe Database Noah,pantry,salt,1,pinch,
dessert,dessert,tahini fudge,Obsidian Recipe Database Noah,bulk barn,pistachios,1,items,Optional -  for topping
dessert,dessert,tahini fudge,Obsidian Recipe Database Noah,pantry,sesame seeds,1,items,Optional -  for topping
