type,category,meal,source,section,ingredient,amount,units,notes
side dish,dinner,Cabbage Fry Kobi Bazi,Obsidian Recipe List,base,vegetable oil,4,tablespoons,"or olive oil"
side dish,dinner,Cabbage Fry Kobi Bazi,Obsidian Recipe List,base,white onion,1,whole,sliced
side dish,dinner,Cabbage Fry Kobi Bazi,Obsidian Recipe List,base,garlic cloves,3,whole,minced
side dish,dinner,Cabbage Fry Kobi Bazi,Obsidian Recipe List,main,white cabbage,1,whole,finely sliced
side dish,dinner,Cabbage Fry Kobi Bazi,Obsidian Recipe List,seasoning,salt,0.5,tablespoon,or to taste
side dish,dinner,Cabbage Fry Kobi Bazi,Obsidian Recipe List,seasoning,turmeric,0.75,teaspoon,
side dish,dinner,Cabbage Fry Kobi Bazi,Obsidian Recipe List,seasoning,coriander powder,1,teaspoon,
side dish,dinner,Cabbage Fry Kobi Bazi,Obsidian Recipe List,seasoning,Thai green chillies,3,whole,sliced lengthways
side dish,dinner,Cabbage Fry Kobi Bazi,Obsidian Recipe List,garnish,fresh coriander,1,pinch,
